Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,,,IPS,32 GB,DDR4,Gri,500 GB,Gen 3,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1265-dvb0x-b-intel-core-i7-12650h-32gb-ram-500gb-nvme-ssd-8gb-rtx4060-freedos-p-731623080,36.799 TL
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.2,,Yok,,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),5600H,5. Nesil,AMD Ryzen 5,6,Windows,6 Saat ve Üstü,https://www.trendyol.com//lenovo/ideapad-gaming-3-ryzen-5-5600h-8-gb-ram-512gb-ssd-gtx-1650-4gb-15-6-win-11-h-82k2022dtx-laptop-golg-p-654281327,23.949 TL
128 GB,USB - Bluetooth - HDMI,Micro USB - Mini HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.5,,,IPS,16 GB,DDR4,Siyah,2 TB,Gen 4,,3.3,1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12,Free Dos,4-6 Saat,https://www.trendyol.com//acer/nitro-5-i5-12500h-16gb-ram-2tb-ssd-rtx-3050ti-freedos-p-780240259,30.000 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,Full HD,32 GB,DDR4,Metalik,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),13420H,13. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//casper/excalibur-g870-1342-dfb0r-b-intel-core-i5-13420h-32gb-ram-1tb-nvme-ssd-gen4-8gb-rtx4060-w11-pro-p-778685047,41.099 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Beyaz,512 GB,,,,1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12,Windows,,https://www.trendyol.com//hp/victus-15-fa1032nt-827x0ea08-i5-12500h-16gb-512ssd-rtx4050-15-6-fullhd-w11p-tasinabilir-bilgisay-p-785133117,36.449 TL
,Bluetooth,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6X,8 GB,Harici,165 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,64 GB,DDR5,Gri,2 TB,,,,2560 x 1600,WQHD,13700HX,13. Nesil,Intel Core i7,16,Free Dos,,https://www.trendyol.com//casper/excalibur-g911-1370-exb0x-c-intel-core-i7-13700hx-64gb-ddr5-ram-2tb-nvme-ssd-8gb-rtx4060-freedos-p-672173537,53.799 TL
16 GB,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR4,Siyah,512 GB,,,2.3,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-15iah7-i7-12650h-16gb-512gb-ssd-4gb-rtx-3050-ti-15-6-fhd-freedos-82s9013wtx-p-739324002,"31.649,30 TL"
,HDMI - USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,2.4,1920 x 1080,Full HD (FHD),13620H,13. Nesil,Intel Core i7,10,Free Dos,3 Saat ve Altı,https://www.trendyol.com//acer/nitro-v-15-core-i7-13620h-16gb-512gb-ssd-rtx-4050-freedos-15-6-fhd-notebook-nh-qnbey-005-165-p-784195255,33.199 TL
,HDMI,,2 kg ve Altı,Yok,16 inç,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,Yok,RGB Türkçe,Oyun,4.7,,Yok,IPS,16 GB,DDR4,Siyah,512 GB,,,2.3,1920 x 1200,WUXGA,12700H,12. Nesil,Intel Core i7,14,Free Dos,4-6 Saat,https://www.trendyol.com//asus/rog-zephyrus-g16-gu603zu-n3020-intel-i7-12700h-16gb-ddr4-512gb-ssd-6gb-rtx4050-16-165hz-dos-p-661736995,42.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-f15-fx507zc4a29-hn008a29-intel-i7-12700h-16gb-512gb-ssd-rtx3050-freedos-15-6-p-700141952,"32.994,87 TL"
,Bluetooth - HDMI,,2 kg ve Altı,Yok,"15,6 inç",RTX A4500,DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,TN,16 GB,DDR4,Beyaz,512 GB,,,,1920 x 1080,Full HD (FHD),1165G7,11. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//acer/aspire-3-a315-58-pypypy-i7-1165g7-16gb-ram-512gb-ssd-iris-xe-graphics-15-6-win-11-pro-p-742275955,22.979 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR5,Mavi,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Windows,4-6 Saat,https://www.trendyol.com//hp/victus-16-s0060nt-ryzen-7-7840hs-16gb-1tb-ssd-rtx3050-6gb-144hz-16-1-fhd-w11pro-8d7v8ea-p-754015708,"32.669,01 TL"
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.4,,,IPS,32 GB,DDR4,Gri,500 GB,Gen 3,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1245-dva0x-b-intel-core-i5-12450h-32gb-ram-500-gb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672176243,31.899 TL
,HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4090,GDDR6,16 GB,Harici,240 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,2560 x 1440,QHD,13900HX,13. Nesil,Intel Core i9,24,Free Dos,,https://www.trendyol.com//hp/omen-17-ck2013nt-892q9ea-i9-13900hx-32gb-ram-1tb-ssd-16gb-rtx-4090-17-3-inc-qhd-240hz-freedos-p-744773201,94.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,18 inç,Nvidia GeForce RTX 4080,GDDR6,12 GB,Harici,165 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q İngilizce,Oyun,5.0,,,IPS,64 GB,DDR5,Siyah,2 TB,Gen 4,,3.9,2560 x 1600,QHD,13900HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//dell/alienware-m18-r1-i9-13900hx-64gb-2tb-ssd-rtx4080-12gb-18-qhd-w11-pro-awm18i9hx80wh-p-782873474,"136.947,69 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,64 GB,DDR5,Mavi,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Windows,4-6 Saat,https://www.trendyol.com//hp/victus-16-s0060nt-ryzen-7-7840hs-64gb-1tb-ssd-rtx3050-6gb-144hz-16-1-fhd-w11pro-8d7v8ea-p-754018726,"35.639,01 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR4,Siyah,1 TB,Gen 4,,2.3,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/tulpar-t5-v23-2-1-intel-core-i7-12650h-16-gb-ram-1-tb-ssd-8-gb-rtx-4060-windows-11-15-6-fhd-144-hz-p-745868617,40.499 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Gümüş,1 TB,,,,1920 x 1080,Full HD (FHD),7640HS,7. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-16-s0063nt-8q4k3ea01-ryzen5-7640hs-16gb-1tbssd-rtx4050-16-1-fullhd-freedos-tasinabilir-bi-p-785162302,31.579 TL
,Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.9,,,IPS,8 GB,DDR5,Gri,512 GB,,,2.6,1920 x 1200,FHD+,13650HX,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//asus/rog-strix-g16-g614jva9-n3159a9-intel-core-i7-13650hx-8gb-512gb-ssd-rtx4060-freedos-16-p-753788438,"51.269,28 TL"
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,4.4,,Yok,IPS,64 GB,DDR4,Siyah,1 TB,,,2,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g770-1245-efj0x-b-intel-core-i5-12450h-64gb-ram-1tb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-445710810,29.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR4,Mavi,1 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-15-fa1018nt-7n9u6ea02-i7-13700h-32gb-1tbssd-rtx4050-15-6-fullhd-freedos-tasinabilir-bilgi-p-732788368,39.749 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR4,Lacivert,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Windows,6 Saat ve Üstü,https://www.trendyol.com//hp/victus-core-i7-13700h-16gb-ram-1tb-ssd-rtx-4050-ekran-karti-15-6-w11-gaming-laptop-7n9s6ea-p-775845902,39.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,64 GB,DDR4,Siyah,1 TB,Gen 4,,2.4,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/tulpar-t7-v20-6-9-intel-core-i7-13700h-64gb-ram-1-tb-ssd-8gb-rtx-4060-windows-11-17-3-fhd-144hz-p-737899744,57.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,Gen 4,,,1920 x 1200,WUXGA,7535HS,7. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//acer/nitro-16-an16-416-r5-7535hs-16gb-512gb-ssd-rtx4050-6gb-16-165hz-wuxga-w11-pro-nh-qkbey-003-p-779180250,"35.790,48 TL"
,Bluetooth,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,240 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,5.0,,Çoklu Kopyalama Sistemleri,IPS,16 GB,DDR5,Mavi,1 TB,,,3.7,2560 x 1600,QHD,13700H,13. Nesil,Intel Core i7,14,Windows,4-6 Saat,https://www.trendyol.com//msi/stealth-16-studio-a13vf-071tr-i7-13700h-16gb-ddr5-1tb-ssd-8gb-rtx4060-240hz-16-qhd-w11-gaming-p-686062505,73.699 TL
,,,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,GDDR6,2 GB,Harici,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,Yok,,16 GB,DDR4,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//hp/250-g9-6q8m6es03-i5-1235u-16gb-1tbssd-mx550-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-387374632,"19.999,99 TL"
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,,,IPS,32 GB,DDR4,Gri,2 TB,Gen 4,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1265-dxa0x-b-intel-core-i7-12650h-32gb-ram-2tb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672160566,36.999 TL
,USB,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4070,GDDR6X,8 GB,Harici,240 Hz,,2 Yıl,İthalatçı Garantili,,,HDD Yok,,Q İngilizce,Oyun,,,,IPS,64 GB,DDR5,Siyah,4 TB,,,,2560 x 1600,QHD,13900HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//msi/raider-ge78hx-13vg-020us-i9-13950hx-64gb-ram-4tb-nvme-rtx-4070-8gb-gddr6-17-3-rgb-ingilizce-q-p-750265649,94.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.6,,,IPS,32 GB,DDR4,Siyah,500 GB,Gen 4,,2.3,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v17-3-11-intel-core-i7-11800h-32gb-ram-500gb-ssd-rtx-3050-ti-windows-11-15-6-inc-fhd-144-hz-p-675580733,34.199 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//lenovo/loq-82xt004ctx-ryzen7-7840hs-16gb-512ssd-rtx4060-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-769160173,38.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.4,2560 x 1600,QHD,13700H,13. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/tulpar-t6-v1-1-2-intel-core-i7-13700h-32-gb-ram-1-tb-ssd-8-gb-rtx-4070-freedos-16-qhd-165-hz-p-742790557,59.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,Full HD,64 GB,DDR4,Metalik,2 TB,Gen 4,,,1920 x 1080,Full HD (FHD),13420H,13. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1342-exb0x-b-intel-core-i5-13420h-64gb-ram-2tb-nvme-ssd-gen4-8gb-rtx4060-freedos-p-778321505,40.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.6,,,IPS,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.3,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v17-4-3-intel-core-i7-11800h-32gb-ram-1-tb-ssd-rtx-3060-windows-11-15-6-inc-fhd-144-hz-p-785888050,36.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,TN,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,3 Saat ve Altı,https://www.trendyol.com//msi/katana-gf76-12ue-830xtra3-intel-core-i7-12650h-16gb-512gb-ssd-rtx3060-freedos-17-3-fhd-144hz-p-778169247,41.749 TL
,,,2 - 4 kg,Yok,18 inç,Nvidia GeForce RTX 4080,GDDR6,12 GB,Harici,240 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,,32 GB,DDR5,Gri,1 TB,,,,2560 x 1600,WQHD,13980HX,13. Nesil,Intel Core i9,16,Free Dos,,https://www.trendyol.com//asus/rog-strix-g18-g814jz-n6022-12gb-rtx4080-13-nesil-intel-i9-13980hx-32gb-1tb-ssd-18-qhd-240hz-p-676260826,90.999 TL
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR5,Pembe,1 TB,,,,1920 x 1080,Full HD (FHD),7940HS,7. Nesil,AMD Ryzen 9,8,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507xia38-lp041a38-amd-ryzen-9-7940hs-32gb-1tb-ssd-rtx4070-freedos-15-6-p-753805199,"55.330,10 TL"
,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,Yok,RGB Türkçe,Oyun,4.4,,Yok,IPS,8 GB,DDR4,Siyah,500 GB,,,2.5,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//casper/excalibur-g770-1245-8vj0t-b-intel-core-i5-12450h-8gb-ram-500-gb-nvme-ssd-gen4-4gb-rtx3050-w11-home-p-314093277,26.799 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,,,IPS,8 GB,DDR5,Gri,512 GB,,,3.2,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//asus/tuf-gaming-fa507nv-lp019w-ryzen7-7735hs-8gb-512gb-ssd-rtx4060-win-11-15-6-inc-fhd-144hz-p-732139809,38.930 TL
,USB,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Mavi,512 GB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-7p6c0ea-16-r0026nt-i7-13700h-16gb-512gb-ssd-rtx-4060-8gb-16-1-inc-144hz-fhd-fdos-notebook-p-748111028,44.499 TL
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,2.1,1920 x 1080,Full HD (FHD),13420H,13. Nesil,Intel Core i5,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//acer/nitro-v-15-core-i5-13420h-16-gb-512-gb-ssd-rtx-4050-freedos-15-6-fhd-notebook-nh-qnbey-001-165-p-784761575,30.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4080,GDDR6,12 GB,Harici,240 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR5,Beyaz,1 TB,,,,2560 x 1600,QHD,13980HX,13. Nesil,Intel Core i9,24,Free Dos,,https://www.trendyol.com//msi/vector-gp68hx-13vh-227xtr-i9-13980hx-32gb-ddr5-1tb-ssd-12gb-rtx4080-16-qhd-240hz-freedos-gaming-p-772142648,96.254 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-f15-fx507zc4a46-hn008a46-intel-i7-12700h-32gb-1tb-ssd-rtx3050-freedos-15-6-p-700141191,"35.643,73 TL"
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.7,,,IPS,32 GB,DDR5,Siyah,2 TB,,,,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//asus/tuf-gaming-a15-r7-7735hs-32gb-2tb-ssd-rtx4050-6gb-15-6-144hz-fhd-w11pro-fa507nu-lp052-p-690589817,"45.224,19 TL"
,HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,240 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR5,Siyah,1 TB,,,2.2,2560 x 1600,WQXGA,13900HX,13. Nesil,Intel Core i9,24,Free Dos,3 Saat ve Altı,https://www.trendyol.com//acer/predator-ph16-i9-13900hx-32-gb-1tb-ssd-rtx-4070-8-gb-freedos-16-wqxga-notebook-nh-qjrey-001-p-743600188,67.999 TL
